"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.990421392439995,0.321321968819701,3.08233326242233,0.00205384755963089
"Married",0.535994680193948,0.263646205796408,2.03300737279661,0.0420517781328057
"Prefered place 
of death at 
home",1.50152745230394,0.354287126629176,4.23816542980279,2.25353697003253e-05
